path	type	purpose
defaults.yaml	modified	non-secret canonical HDRO URL default
defaults.hdro.yaml	added	dedicated cloud_dog_config Vault bundle defaults for HDRO secret object
src/index_tools/sources/__init__.py	added	source package marker
src/index_tools/sources/hdro.py	added	UNDP HDRO extractor, endpoint safety, redacted transport errors
src/index_tools/tools/definitions.py	modified	hdro_extract input/output models
src/index_tools/tools/registry.py	modified	hdro_extract ToolSpec
src/index_tools/tools/service.py	modified	IndexService.hdro_extract
src/index_server/mcp_server.py	modified	permission and dispatch for hdro_extract
src/index_server/api_server.py	modified	A2A skill mapping for hdro_extract
tests/unit/UT_W28D440E4/test_hdro_extractor.py	added	unit, redaction, service surface, W28D-440E1 regression
tests/integration/IT_W28D440E4/test_hdro_live.py	added	live Vault-backed hdrdata.org integration
tests/unit/UT1_40/test_ut1_40_tool_registry.py	modified	tool count 93 and hdro_extract assertion
docs/REQUIREMENTS.md	modified	requirements trace/tool count update
docs/API-REFERENCE.md	modified	API reference/tool count update
evidence/W28D-440E4/current/00-hdro-vault-preflight.md	evidence	W28D-440E4 closeout artefact
evidence/W28D-440E4/current/00-reading-proof.md	evidence	W28D-440E4 closeout artefact
evidence/W28D-440E4/current/endpoint-config-proof.md	evidence	W28D-440E4 closeout artefact
evidence/W28D-440E4/current/extractor-design.md	evidence	W28D-440E4 closeout artefact
evidence/W28D-440E4/current/hdro-live-probe.json	evidence	W28D-440E4 closeout artefact
evidence/W28D-440E4/current/it.log	evidence	W28D-440E4 closeout artefact
evidence/W28D-440E4/current/mcp-api-smoke.log	evidence	W28D-440E4 closeout artefact
evidence/W28D-440E4/current/requirements-map.tsv	evidence	W28D-440E4 closeout artefact
evidence/W28D-440E4/current/secret-redaction-proof.txt	evidence	W28D-440E4 closeout artefact
evidence/W28D-440E4/current/source-hunt-regression.log	evidence	W28D-440E4 closeout artefact
evidence/W28D-440E4/current/touched-paths-manifest.tsv	evidence	W28D-440E4 closeout artefact
evidence/W28D-440E4/current/ut.log	evidence	W28D-440E4 closeout artefact
