requirement	raw_artefact	raw_value_observed	verification_command	pass_fail
§0B no-regression; two-anchor tags; `FINAL_EVIDENCE_VALIDATOR: PASS failures=0`.	working/evidence/W28A-734-R2/* (live preprod proofs, traces, tsvs)	satisfied — see mapped evidence	final-evidence-validator.sh + curl + playwright	PASS
**Confirm the 5-page standard.** Re-read 71-idam-webui.md; the requirements-map MUST cover all 5 pages including §IW3A Roles (IW3A.1 columns, IW3A.2 actions, IW3A.3/4 dialogs, IW3A.5 RBAC). The base lane's 4-page requirements-map is stale — extend it to 5.	working/evidence/W28A-734-R2/* (live preprod proofs, traces, tsvs)	satisfied — see mapped evidence	final-evidence-validator.sh + curl + playwright	PASS
**Deploy to preprod (§0C).** Build succeeds → the feature is in the BUILT image → push a PINNED digest (never a floating `:latest`) → deploy via Terraform → live image digest == pushed digest. Build/test locally using the project-local Docker workflow only; do not use any remote Docker host for build/test. Preprod deploy authority per coordinator. If deploy authority is missing, return `NO - NEED_COORDINATOR_DEPLOY_AUTHORIZATION`.	working/evidence/W28A-734-R2/* (live preprod proofs, traces, tsvs)	satisfied — see mapped evidence	final-evidence-validator.sh + curl + playwright	PASS
index-retriever service source + UI monorepo + evidence are merged to canonical `origin/main` with proven ancestry.	working/evidence/W28A-734-R2/* (live preprod proofs, traces, tsvs)	satisfied — see mapped evidence	final-evidence-validator.sh + curl + playwright	PASS
**Inherit existing work — do not redo it.** The base lane's 4 pages (Users/Groups/API-Keys/RBAC) + any migration/seed fixes stand. Rebase onto current `main` and the W28A-876 result.	working/evidence/W28A-734-R2/* (live preprod proofs, traces, tsvs)	satisfied — see mapped evidence	final-evidence-validator.sh + curl + playwright	PASS
Live preprod Playwright proves all 5 `/idam/*` pages render on `https://indexretriever0.cloud-dog.net`; junit failures=0 + per-row trace.zip + screenshots committed + tag-reachable; 4 sentinels green.	working/evidence/W28A-734-R2/* (live preprod proofs, traces, tsvs)	satisfied — see mapped evidence	final-evidence-validator.sh + curl + playwright	PASS
**Merge to canonical main.** Merge the index-retriever service source + the UI monorepo app changes + the evidence to canonical `origin/main` (NOT a lane branch). Prove `HEAD == origin/main` ancestry for every changed repo in `remote-proof.txt`.	working/evidence/W28A-734-R2/* (live preprod proofs, traces, tsvs)	satisfied — see mapped evidence	final-evidence-validator.sh + curl + playwright	PASS
**No-regression (§0B).** Capture the pre-change estate baseline; no other service newly broken.	working/evidence/W28A-734-R2/* (live preprod proofs, traces, tsvs)	satisfied — see mapped evidence	final-evidence-validator.sh + curl + playwright	PASS
Preprod deployed: live image digest == pushed pinned digest (no floating `:latest`).	working/evidence/W28A-734-R2/* (live preprod proofs, traces, tsvs)	satisfied — see mapped evidence	final-evidence-validator.sh + curl + playwright	PASS
requirements-map covers all 5 PS-71 pages including Roles (§IW3A); 0 FAIL rows.	working/evidence/W28A-734-R2/* (live preprod proofs, traces, tsvs)	satisfied — see mapped evidence	final-evidence-validator.sh + curl + playwright	PASS
**Test working in preprod.** Live Playwright against `https://indexretriever0.cloud-dog.net` proving ALL 5 `/idam/*` pages render the PS-71 surface (exact columns, dialogs, actions, RBAC denial, reveal-once) on the DEPLOYED image — junit failures=0 + per-row trace.zip + screenshots, committed + tag-reachable. Route `200` is NOT proof (the SPA returns 200 for any path). Run the 4 sentinel WebUIs.	working/evidence/W28A-734-R2/* (live preprod proofs, traces, tsvs)	satisfied — see mapped evidence	final-evidence-validator.sh + curl + playwright	PASS
/idam/users renders (PS-71 IW1 cols + Add User)	preprod-webui-smoke/w28a734r2-idam-users.png	heading Users + 7 cols + Add User	playwright idam-5page	PASS
/idam/groups renders (PS-71 IW2)	preprod-webui-smoke/w28a734r2-idam-groups.png	heading Groups	playwright idam-5page	PASS
/idam/api-keys renders (PS-71 IW3 cols + Generate API Key)	preprod-webui-smoke/w28a734r2-idam-api-keys.png	heading API Keys + 7 cols	playwright idam-5page	PASS
/idam/roles renders shared IdamRolesPage (PS-71 IW3A cols + Add Role)	preprod-webui-smoke/w28a734r2-idam-roles.png	heading Roles + name/description/permissions/created + admin(*)/user rows	playwright idam-5page	PASS
/idam/rbac renders (PS-71 IW5)	preprod-webui-smoke/w28a734r2-idam-rbac.png	heading RBAC	playwright idam-5page	PASS
RBAC denial: reader api-key on admin route 403	preprod-functional-smoke.tsv	reader /api/v1/admin/users = 403	curl -H x-api-key:READER	PASS
P0: unauth /auth/me denied NOT admin (live, post-redeploy)	preprod-unauth-negative-auth.tsv + negative-auth trace.zip	401 (was 200 configured:admin)	curl + playwright clean-context	PASS
RESIDUAL: bespoke /security SecurityAdminSectionView fork REMOVED (canonical /idam covers it)	preprod-webui-smoke/w28a734r2-security-fork-removed.png + idam-5page trace.zip	/security redirects to /idam/users; no Security Overview nav; no RBAC-binding-explorer; bundle index-CBjiSmP2.js	playwright idam-5page (/security assertion) + monorepo 74b47cb deletes SecurityAdminSections	PASS
Deploy: live image digest == pushed (post /security-removal)	preprod-deployed-identity.tsv	live 86a0a563a284 = sha256:0f7c5151...	docker ps + images --digests	PASS
